track_se_1,ele,time,X,Y,Z,M
"0",638.4000244100,2021/10/07 14:56:21.000,-3.7828635424,40.4473270480,638.4000244100,0.0000000000
"1",639.0000000000,2021/10/07 14:56:24.000,-3.7827446871,40.4473195040,639.0000000000,0.0000000000
"2",639.0000000000,2021/10/07 14:56:26.000,-3.7826542463,40.4472863120,639.0000000000,0.0000000000
"3",639.0000000000,2021/10/07 14:56:27.000,-3.7826076429,40.4472658600,639.0000000000,0.0000000000
"4",638.5999755900,2021/10/07 14:56:29.000,-3.7825380731,40.4470439070,638.5999755900,0.0000000000
"5",638.5999755900,2021/10/07 14:56:30.000,-3.7824920565,40.4470288190,638.5999755900,0.0000000000
"6",638.5999755900,2021/10/07 14:56:31.000,-3.7824418489,40.4470229520,638.5999755900,0.0000000000
"7",639.2000122100,2021/10/07 14:56:34.000,-3.7822829280,40.4470407220,639.2000122100,0.0000000000
"8",639.4000244100,2021/10/07 14:56:35.000,-3.7822340615,40.4470534620,639.4000244100,0.0000000000
"9",639.5999755900,2021/10/07 14:56:37.000,-3.7821248453,40.4470600000,639.5999755900,0.0000000000
"10",639.5999755900,2021/10/07 14:56:39.000,-3.7820143718,40.4470525400,639.5999755900,0.0000000000
"11",640.0000000000,2021/10/07 14:56:42.000,-3.7818473205,40.4470501930,640.0000000000,0.0000000000
"12",640.5999755900,2021/10/07 14:56:46.000,-3.7816433050,40.4469975550,640.5999755900,0.0000000000
"13",640.5999755900,2021/10/07 14:56:47.000,-3.7815883197,40.4469900110,640.5999755900,0.0000000000
"14",640.4000244100,2021/10/07 14:56:56.000,-3.7810352817,40.4469843120,640.4000244100,0.0000000000
"15",640.2000122100,2021/10/07 14:57:00.000,-3.7807702459,40.4469914360,640.2000122100,0.0000000000
"16",640.4000244100,2021/10/07 14:57:03.000,-3.7805531546,40.4469973870,640.4000244100,0.0000000000
"17",640.4000244100,2021/10/07 14:57:05.000,-3.7803944852,40.4470083680,640.4000244100,0.0000000000
"18",640.2000122100,2021/10/07 14:57:08.000,-3.7801734544,40.4470254670,640.2000122100,0.0000000000
"19",639.5999755900,2021/10/07 14:57:10.000,-3.7800369971,40.4470260530,639.5999755900,0.0000000000
"20",639.5999755900,2021/10/07 14:57:11.000,-3.7799680140,40.4470102120,639.5999755900,0.0000000000
"21",639.4000244100,2021/10/07 14:57:12.000,-3.7799046468,40.4469885860,639.4000244100,0.0000000000
"22",639.4000244100,2021/10/07 14:57:13.000,-3.7798379268,40.4469738340,639.4000244100,0.0000000000
"23",638.7999877900,2021/10/07 14:57:14.000,-3.7797631603,40.4469753430,638.7999877900,0.0000000000
"24",638.7999877900,2021/10/07 14:57:15.000,-3.7796927523,40.4469933640,638.7999877900,0.0000000000
"25",638.7999877900,2021/10/07 14:57:16.000,-3.7796257809,40.4470221140,638.7999877900,0.0000000000
"26",638.7999877900,2021/10/07 14:57:17.000,-3.7795601506,40.4470534620,638.7999877900,0.0000000000
"27",638.7999877900,2021/10/07 14:57:18.000,-3.7794928439,40.4470760930,638.7999877900,0.0000000000
"28",638.7999877900,2021/10/07 14:57:20.000,-3.7793459091,40.4470978860,638.7999877900,0.0000000000
"29",638.2000122100,2021/10/07 14:57:24.000,-3.7790353596,40.4471237030,638.2000122100,0.0000000000
"30",638.2000122100,2021/10/07 14:57:28.000,-3.7787033524,40.4471445740,638.2000122100,0.0000000000
"31",637.5999755900,2021/10/07 14:57:30.000,-3.7785392348,40.4471593260,637.5999755900,0.0000000000
"32",637.4000244100,2021/10/07 14:57:31.000,-3.7784555834,40.4471623430,637.4000244100,0.0000000000
"33",637.2000122100,2021/10/07 14:57:33.000,-3.7782826647,40.4471708090,637.2000122100,0.0000000000
"34",637.0000000000,2021/10/07 14:57:34.000,-3.7781912182,40.4471781010,637.0000000000,0.0000000000
"35",636.4000244100,2021/10/07 14:57:37.000,-3.7779160403,40.4471900870,636.4000244100,0.0000000000
"36",635.7999877900,2021/10/07 14:57:39.000,-3.7777613103,40.4472055100,635.7999877900,0.0000000000
